data_status,program_id,category,category_ordinal,scenario_count,source_status,source_file
SYNTHETIC_ILLUSTRATIVE,BR-001,Branched,1,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-002,Branched,2,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-003,Branched,3,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-004,Branched,4,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-005,Branched,5,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-006,Branched,6,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-007,Branched,7,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-008,Branched,8,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-009,Branched,9,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-010,Branched,10,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-011,Branched,11,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-012,Branched,12,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-013,Branched,13,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-014,Branched,14,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-015,Branched,15,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-016,Branched,16,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-017,Branched,17,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-018,Branched,18,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-019,Branched,19,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-020,Branched,20,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-021,Branched,21,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-022,Branched,22,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-023,Branched,23,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-024,Branched,24,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-025,Branched,25,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-026,Branched,26,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-027,Branched,27,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
SYNTHETIC_ILLUSTRATIVE,BR-028,Branched,28,4,SYNTHETIC_IDENTIFIER_ONLY,NOT_INCLUDED
